HOSPITAL_ID,HOSPITAL_NAME,HOSPITAL_TYPE,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,AVG_VENTILATOR_USAGE,Potential_Increase_In_Bed_Capac
41,Vaughan Regional Medical Center,Short Term Acute Care Hospital,Dallas,Alabama,1,47,1047,175,109,23,23,0,0.38494509,2,66
42,Dekalb Regional Medical Center,Short Term Acute Care Hospital,DeKalb,Alabama,1,49,1049,134,97,12,12,0,0.27885753,3,37
43,Community Hospital,Short Term Acute Care Hospital,Elmore,Alabama,1,51,1051,69,37,5,5,0,0.29389116,2,32
44,Elmore Community Hospital,Short Term Acute Care Hospital,Elmore,Alabama,1,51,1051,69,33,6,6,0,0.30469075,1,36
45,DW McMillan Memorial Hospital,Short Term Acute Care Hospital,Escambia,Alabama,1,53,1053,91,46,8,8,0,0.33484218,2,45
46,Atmore Community Hospital,Short Term Acute Care Hospital,Escambia,Alabama,1,53,1053,51,49,6,6,0,0.3566117,2,2
47,Gadsden Regional Medical Center,Short Term Acute Care Hospital,Etowah,Alabama,1,55,1055,346,222,40,40,0,0.73435766,8,124
48,Riverview Regional Medical Center,Short Term Acute Care Hospital,Etowah,Alabama,1,55,1055,281,256,45,45,0,0.25446275,6,25
49,Fayette Medical Center (FKA Weimer Medical Center),Short Term Acute Care Hospital,Fayette,Alabama,1,57,1057,61,45,8,8,0,0.23293759,2,16
50,Russellville Hospital,Short Term Acute Care Hospital,Franklin,Alabama,1,59,1059,100,49,7,7,0,0.3553257,2,51
51,Red Bay Hospital,Critical Access Hospital,Franklin,Alabama,1,59,1059,25,25,4,4,0,0.26641095,1,0
52,Wiregrass Medical Center,Short Term Acute Care Hospital,Geneva,Alabama,1,61,1061,83,73,6,6,0,0.13143179,2,10
53,Greene County Hospital,Short Term Acute Care Hospital,Greene,Alabama,1,63,1063,20,20,4,4,0,0.24164383,0,0
54,Hale County Hospital,Short Term Acute Care Hospital,Hale,Alabama,1,65,1065,39,28,5,5,0,0.26086107,0,11
55,Flowers Hospital,Short Term Acute Care Hospital,Houston,Alabama,1,69,1069,235,235,26,26,6,0.61429322,8,0
56,Southeast Health (FKA Southeast Alabama Medical Center),Short Term Acute Care Hospital,Houston,Alabama,1,69,1069,420,342,40,40,16,0.77072817,8,78
57,Highlands Medical Center,Short Term Acute Care Hospital,Jackson,Alabama,1,71,1071,170,92,10,10,0,0.62826902,2,78
58,St Vincents Birmingham,Short Term Acute Care Hospital,Jefferson,Alabama,1,73,1073,409,399,83,83,30,0.53783363,13,10
59,Princeton Baptist Medical Center,Short Term Acute Care Hospital,Jefferson,Alabama,1,73,1073,505,279,33,33,12,0.69173664,9,226
60,Grandview Medical Center (FKA Trinity Medical Center),Short Term Acute Care Hospital,Jefferson,Alabama,1,73,1073,402,373,72,72,12,0.70658082,8,29
61,St Vincents East (FKA Medical Center East),Short Term Acute Care Hospital,Jefferson,Alabama,1,73,1073,362,309,44,44,0,0.69054943,12,53
62,UAB Callahan Eye Hospital,Short Term Acute Care Hospital,Jefferson,Alabama,1,73,1073,106,12,2,2,0,0.05913242,0,94
63,Helen Keller Hospital,Short Term Acute Care Hospital,Colbert,Alabama,1,33,1033,185,178,12,12,0,0.38922581,4,7
64,UAB Hospital,Short Term Acute Care Hospital,Jefferson,Alabama,1,73,1073,1157,1100,85,85,106,0.8154819,29,57
65,Medical West Hospital,Short Term Acute Care Hospital,Jefferson,Alabama,1,73,1073,310,187,21,21,0,0.45702147,3,123
66,Birmingham VA Medical Center,VA Hospital,Jefferson,Alabama,1,73,1073,313,131,0,0,0,0,0,182
67,Brookwood Baptist Medical Center (FKA Brookwood Medical Center),Short Term Acute Care Hospital,Jefferson,Alabama,1,73,1073,595,425,26,26,32,0.4073489,8,170
68,North Alabama Medical Center (FKA Eliza Coffee Memorial Hospital),Short Term Acute Care Hospital,Lauderdale,Alabama,1,77,1077,263,223,36,36,0,0.7035948,6,40
69,Lawrence Medical Center,Short Term Acute Care Hospital,Lawrence,Alabama,1,79,1079,98,43,6,6,0,0.15132208,2,55
70,East Alabama Medical Center - Opelika,Short Term Acute Care Hospital,Lee,Alabama,1,81,1081,314,299,20,20,0,0.68810189,10,15
71,Athens-Limestone Hospital,Short Term Acute Care Hospital,Limestone,Alabama,1,83,1083,71,66,10,10,0,0.49176189,3,5
72,Huntsville Hospital,Short Term Acute Care Hospital,Madison,Alabama,1,89,1089,881,887,67,67,46,0.67195249,21,-6
73,Crestwood Medical Center,Short Term Acute Care Hospital,Madison,Alabama,1,89,1089,180,190,16,16,3,0.55890137,3,-10
74,Whitfield Regional Hospital (FKA Bryan W Whitfield Memorial Hospital),Short Term Acute Care Hospital,Marengo,Alabama,1,91,1091,99,37,5,5,0,0.36645687,2,62
75,Northwest Medical Center,Short Term Acute Care Hospital,Marion,Alabama,1,93,1093,71,42,4,4,0,0.22015655,2,29
76,North Mississippi Medical Center - Hamilton,Short Term Acute Care Hospital,Marion,Alabama,1,93,1093,49,36,4,4,0,0.23843227,1,13
77,Marshall Medical Center South,Short Term Acute Care Hospital,Marshall,Alabama,1,95,1095,150,150,20,20,0,0.43511954,7,0
78,USA Health University Hospital (FKA University of South Alabama Medical Center),Short Term Acute Care Hospital,Mobile,Alabama,1,97,1097,406,183,32,32,0,0.87147242,4,223
79,Providence Hospital,Short Term Acute Care Hospital,Mobile,Alabama,1,97,1097,349,349,33,33,0,0.48205647,8,0
80,Mobile Infirmary,Short Term Acute Care Hospital,Mobile,Alabama,1,97,1097,669,596,38,38,0,0.66353315,11,73
81,Springhill Medical Center,Short Term Acute Care Hospital,Mobile,Alabama,1,97,1097,263,188,20,20,0,0.77661031,5,75
82,USA Childrens & Womens Hospital,Childrens Hospital,Mobile,Alabama,1,97,1097,152,101,118,118,118,0.62734205,1,51
83,Monroe County Hospital,Short Term Acute Care Hospital,Monroe,Alabama,1,99,1099,94,49,8,8,0,0.11646631,2,45
84,Baptist Medical Center East,Short Term Acute Care Hospital,Montgomery,Alabama,1,101,1101,150,150,12,12,25,0.69636494,2,0
85,Central Alabama Veterans Health Care System - West Campus,VA Hospital,Montgomery,Alabama,1,101,1101,143,143,1,1,0,0,1,0
86,Baptist Medical Center South,Short Term Acute Care Hospital,Montgomery,Alabama,1,101,1101,432,326,26,26,40,0.73047203,8,106
87,Jackson Hospital,Short Term Acute Care Hospital,Montgomery,Alabama,1,101,1101,344,270,34,34,0,0.7106545,5,74
88,Decatur Morgan Hospital - Decatur Campus (FKA Decatur General Hospital),Short Term Acute Care Hospital,Morgan,Alabama,1,103,1103,273,266,23,23,0,0.42288098,3,7
89,Troy Regional Medical Center,Short Term Acute Care Hospital,Pike,Alabama,1,109,1109,97,41,9,9,0,0.33673197,2,56
90,Jack Hughston Memorial Hospital,Short Term Acute Care Hospital,Russell,Alabama,1,113,1113,70,47,8,8,0,0.36496648,2,23
91,St Vincents St Clair,Short Term Acute Care Hospital,St. Clair,Alabama,1,115,1115,40,40,6,6,0,0.44651639,2,0
92,Shelby Baptist Medical Center,Short Term Acute Care Hospital,Shelby,Alabama,1,117,1117,252,212,32,32,0,0.57423109,6,40
93,Hill Hospital of Sumter County,Short Term Acute Care Hospital,Sumter,Alabama,1,119,1119,33,33,6,6,0,0.4234122,0,0
94,Coosa Valley Medical Center,Short Term Acute Care Hospital,Talladega,Alabama,1,121,1121,168,122,8,8,0,0.25318015,2,46
95,Citizens Baptist Medical Center,Short Term Acute Care Hospital,Talladega,Alabama,1,121,1121,122,103,6,6,0,0.20712861,2,19
96,Lake Martin Community Hospital,Short Term Acute Care Hospital,Tallapoosa,Alabama,1,123,1123,46,46,8,8,0,0.096366882,0,0
97,Russell Medical Center,Short Term Acute Care Hospital,Tallapoosa,Alabama,1,123,1123,81,43,6,6,0,0.45014337,2,38
98,DCH Regional Medical Center,Short Term Acute Care Hospital,Tuscaloosa,Alabama,1,125,1125,583,524,52,52,51,0.7311095,31,59
99,Tuscaloosa VA Medical Center,VA Hospital,Tuscaloosa,Alabama,1,125,1125,96,96,0,0,0,0,0,0
100,Walker Baptist Medical Center,Short Term Acute Care Hospital,Walker,Alabama,1,127,1127,267,207,12,12,0,0.29285949,4,60
101,Washington County Hospital,Critical Access Hospital,Washington,Alabama,1,129,1129,25,15,3,3,0,0.43178082,1,10
102,J Paul Jones Hospital,Short Term Acute Care Hospital,Wilcox,Alabama,1,131,1131,30,21,4,4,0,0.065753423,0,9
103,Lakeland Community Hospital,Short Term Acute Care Hospital,Winston,Alabama,1,133,1133,49,49,4,4,0,0.29197651,2,0
104,Providence Alaska Medical Center,Short Term Acute Care Hospital,Anchorage,Alaska,2,20,2020,401,391,46,46,66,0.71726364,11,10
105,Alaska Regional Hospital,Short Term Acute Care Hospital,Anchorage,Alaska,2,20,2020,250,168,14,14,10,0.71379077,4,82
106,Alaska Native Medical Center,Short Term Acute Care Hospital,Anchorage,Alaska,2,20,2020,150,174,30,30,0,0.65020746,4,-24
107,Yukon-Kuskokwim Delta Regional Hospital,Short Term Acute Care Hospital,Bethel,Alaska,2,50,2050,50,34,6,6,0,0.38920227,1,16
108,Maine VA Medical Center (AKA Togus VA Medical Center),VA Hospital,Kennebec,Maine,23,11,23011,67,67,2,2,0,0,2,0
109,Fairbanks Memorial Hospital,Short Term Acute Care Hospital,Fairbanks North Star,Alaska,2,90,2090,152,122,13,13,0,0.35250393,2,30
110,Bartlett Regional Hospital,Short Term Acute Care Hospital,Juneau,Alaska,2,110,2110,73,45,9,9,0,0.36596653,2,28
111,Central Peninsula Hospital,Short Term Acute Care Hospital,Kenai Peninsula,Alaska,2,122,2122,49,49,6,6,0,0.63282079,2,0
112,Providence Seward Medical & Care Center,Critical Access Hospital,Kenai Peninsula,Alaska,2,122,2122,6,6,1,1,0,0.15342465,0,0
113,South Peninsula Hospital,Critical Access Hospital,Kenai Peninsula,Alaska,2,122,2122,22,21,4,4,0,0.37521201,1,1
114,PeaceHealth Ketchikan Medical Center,Critical Access Hospital,Ketchikan Gateway,Alaska,2,130,2130,25,25,4,4,0,0.38246575,2,0
115,VA Maryland Health Care System - Baltimore VA Medical Center,VA Hospital,Baltimore City,Maryland,24,510,24510,131,131,2,2,0,0,2,0
116,Providence Kodiak Island Medical Center,Critical Access Hospital,Kodiak Island,Alaska,2,150,2150,25,24,4,4,0,0.20947489,2,1
117,Mat-Su Regional Medical Center,Short Term Acute Care Hospital,Matanuska-Susitna,Alaska,2,170,2170,125,109,14,14,0,0.40972728,3,16
118,Norton Sound Regional Hospital,Critical Access Hospital,Nome,Alaska,2,180,2180,18,18,3,3,0,0.40167427,1,0
119,Mt Edgecumbe Hospital,Critical Access Hospital,Sitka,Alaska,2,220,2220,25,27,4,4,0,0.33860984,1,-2
120,Wrangell Medical Center,Critical Access Hospital,Wrangell,Alaska,2,275,2275,8,8,1,1,0,0.2875683,0,0
121,VA Central Western Massachusetts Healthcare System - Northampton VA Medical Center (AKA Edward P Boland Department of Veterans Affairs Medical Center),VA Hospital,Hampshire,Massachusetts,25,15,25015,145,145,0,0,0,0,0,0
122,Edith Nourse Rogers Memorial Veterans Hospital,VA Hospital,Middlesex,Massachusetts,25,17,25017,65,65,1,1,0,0,1,0
123,Fort Defiance Indian Hospital,Short Term Acute Care Hospital,Apache,Arizona,4,1,4001,56,56,10,10,0,0.4590998,1,0
124,Chinle Comprehensive Health Care Facility,Short Term Acute Care Hospital,Apache,Arizona,4,1,4001,60,60,11,11,0,0.22191781,1,0
125,Sage Memorial Hospital,Critical Access Hospital,Apache,Arizona,4,1,4001,25,25,4,4,0,0.10421918,1,0
126,White Mountain Regional Medical Center,Critical Access Hospital,Apache,Arizona,4,1,4001,21,21,4,4,0,0.27266797,2,0
127,Copper Queen Community Hospital,Critical Access Hospital,Cochise,Arizona,4,3,4003,14,14,2,2,0,0.33508977,2,0
128,Benson Hospital,Critical Access Hospital,Cochise,Arizona,4,3,4003,22,22,4,4,0,0.18281445,0,0
129,Northern Cochise Community Hospital,Critical Access Hospital,Cochise,Arizona,4,3,4003,24,24,4,4,0,0.078551911,0,0
130,Canyon Vista Medical Center (FKA Sierra Vista Regional Health Center),Short Term Acute Care Hospital,Cochise,Arizona,4,3,4003,100,75,12,12,0,0.46768671,4,25
131,Flagstaff Medical Center,Short Term Acute Care Hospital,Coconino,Arizona,4,5,4005,264,242,41,41,18,0.54920292,7,22
132,Page Hospital,Critical Access Hospital,Coconino,Arizona,4,5,4005,25,25,4,4,0,0.096109591,1,0
133,Tuba City Regional Health Care,Short Term Acute Care Hospital,Coconino,Arizona,4,5,4005,73,73,13,13,0,0.43557891,2,0
134,San Carlos Apache Healthcare (FKA PHS Indian Hospital - San Carlos),Short Term Acute Care Hospital,Graham,Arizona,4,9,4009,127,8,1,1,0,0.45136985,0,119
135,Cobre Valley Regional Medical Center,Critical Access Hospital,Gila,Arizona,4,7,4007,25,25,4,4,0,0.65073973,2,0
136,Banner Payson Medical Center (AKA Payson Regional Medical Center),Critical Access Hospital,Gila,Arizona,4,7,4007,25,25,4,4,0,0.44263014,2,0
137,Mt Graham Regional Medical Center,Short Term Acute Care Hospital,Graham,Arizona,4,9,4009,49,49,9,9,0,0.171149,2,0
138,La Paz Regional Hospital,Critical Access Hospital,La Paz,Arizona,4,12,4012,25,25,3,3,0,0.35605478,2,0
139,Banner Desert Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,595,615,51,51,86,0.7417931,20,-20
140,Banner Boswell Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,434,410,85,85,0,0.56691003,9,24
141,St Josephs Hospital and Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,586,501,32,32,72,0.80072182,29,85
142,Abrazo Central Campus (FKA Phoenix Baptist Hospital),Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,206,140,28,28,0,0.60882121,6,66
143,Chandler Regional Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,338,96,49,49,12,0.78661072,19,242
144,HonorHealth Scottsdale Osborn Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,341,337,59,59,0,0.51435924,8,4
145,Valleywise Health Medical Center (FKA Maricopa Medical Center),Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,758,323,52,52,60,0.51196086,10,435
146,HonorHealth John C Lincoln Medical Center (FKA John C Lincoln North Mountain Hospital),Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,262,262,20,20,0,0.57754886,8,0
147,Valleywise Behavioral Health Center - Maryvale (FKA MIHS Maryvale Hospital),Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,228,228,16,16,0,0.18209064,3,0
148,Banner - University Medical Center Phoenix (FKA Banner Good Samaritan Medical Center),Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,766,656,46,46,0,0.78406662,26,110
149,Phoenix Indian Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,115,115,23,23,0,0.15332936,2,0
150,Abrazo Scottsdale Campus (FKA Paradise Valley Hospital),Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,136,120,14,14,0,0.43527398,4,16
151,HonorHealth Scottsdale Shea Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,427,427,25,25,24,0.62469125,6,0
152,Banner Baywood Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,359,318,26,26,0,0.57843542,10,41
153,Banner Thunderbird Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,555,499,40,40,0,0.58860189,13,56
154,HonorHealth Deer Valley Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,204,204,36,36,0,0.75784975,7,0
155,Banner Del E Webb Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,394,314,34,34,0,0.57043886,7,80
156,Abrazo Arrowhead Campus (FKA Arrowhead Hospital),Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,217,217,38,38,0,0.62552661,9,0
157,Mayo Clinic Hospital - Arizona,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,292,264,30,30,0,0.82464713,13,28
158,Banner Heart Hospital,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,111,111,19,19,0,0.53202516,4,0
159,Arizona Spine & Joint Hospital,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,23,23,4,4,0,0.22942227,0,0
160,CORE Institute Specialty Hospital (FKA the Surgical Hospital of Phoenix),Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,32,32,6,6,0,0.21849315,2,0
161,Abrazo West Campus (FKA West Valley Hospital),Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,200,191,20,20,0,0.72587472,9,9
162,Wickenburg Community Hospital,Critical Access Hospital,Maricopa,Arizona,4,13,4013,19,19,3,3,0,0.17534247,2,0
163,Dignity Health Arizona Specialty Hospital (FKA Arizona Orthopedic Surgical Hospital),Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,24,24,4,4,0,0.21518265,0,0
164,Banner Estrella Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,317,317,24,24,0,0.63880557,6,0
165,Mercy Gilbert Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,197,198,24,24,0,0.71210736,8,-1
166,Mountain Vista Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,178,141,30,30,0,0.50377613,5,37
167,Banner Gateway Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,177,165,24,24,0,0.84773767,3,12
168,HonorHealth Scottsdale Thompson Peak Medical Center,Short Term Acute Care Hospital,Maricopa,Arizona,4,13,4013,120,120,8,8,0,0.54415524,3,0
169,Phoenix Childrens Hospital,Childrens Hospital,Maricopa,Arizona,4,13,4013,435,457,81,81,81,0.5402208,6,-22
170,Valley View Medical Center,Short Term Acute Care Hospital,Mohave,Arizona,4,15,4015,84,72,12,12,0,0.2554414,3,12
171,Western Arizona Regional Medical Center,Short Term Acute Care Hospital,Mohave,Arizona,4,15,4015,139,139,32,32,0,0.40987483,7,0
172,Havasu Regional Medical Center,Short Term Acute Care Hospital,Mohave,Arizona,4,15,4015,152,144,16,16,0,0.46348935,5,8
173,Kingman Regional Medical Center,Short Term Acute Care Hospital,Mohave,Arizona,4,15,4015,235,196,20,20,0,0.47457343,5,39
174,Summit Healthcare Regional Medical Center,Short Term Acute Care Hospital,Navajo,Arizona,4,17,4017,101,89,12,12,0,0.40815762,3,12
175,Hopi Health Care Center,Critical Access Hospital,Navajo,Arizona,4,17,4017,6,6,1,1,0,0.23835616,0,0
176,Whiteriver Indian Hospital,Short Term Acute Care Hospital,Navajo,Arizona,4,17,4017,40,40,7,7,0,0.24842466,0,0
177,Little Colorado Medical Center,Critical Access Hospital,Navajo,Arizona,4,17,4017,25,25,4,4,0,0.32438356,2,0
178,Oro Valley Hospital,Short Term Acute Care Hospital,Pima,Arizona,4,19,4019,146,111,36,36,0,0.41184747,2,35
179,Sells Indian Hospital,Short Term Acute Care Hospital,Pima,Arizona,4,19,4019,14,14,2,2,0,0.15870841,1,0
180,Northwest Medical Center,Short Term Acute Care Hospital,Pima,Arizona,4,19,4019,300,281,35,35,15,0.52079171,6,19
181,Banner - University Medical Center South (FKA University of Arizona Medical Center - South Campus),Short Term Acute Care Hospital,Pima,Arizona,4,19,4019,245,144,12,12,0,0.72784221,4,101
182,Banner - University Medical Center Tucson (FKA University of Arizona Medical Center),Short Term Acute Care Hospital,Pima,Arizona,4,19,4019,625,625,90,90,60,0.6966868,18,0
183,Tucson Medical Center (AKA TMC HealthCare),Short Term Acute Care Hospital,Pima,Arizona,4,19,4019,596,441,36,36,54,0.86572856,10,155
184,St Marys Hospital,Short Term Acute Care Hospital,Pima,Arizona,4,19,4019,400,349,49,49,0,0.3515563,4,51
185,St Joseph Hospital,Short Term Acute Care Hospital,Pima,Arizona,4,19,4019,486,451,32,32,30,0.34136623,6,35
186,Banner Casa Grande Medical Center,Short Term Acute Care Hospital,Pinal,Arizona,4,21,4021,141,141,22,22,0,0.45432818,4,0
187,Holy Cross Hospital,Critical Access Hospital,Santa Cruz,Arizona,4,23,4023,25,25,4,4,0,0.2758356,2,0
188,Northern Arizona VA Health Care System,VA Hospital,Yavapai,Arizona,4,25,4025,15,15,0,0,0,0,0,0
189,Yavapai Regional Medical Center - West,Short Term Acute Care Hospital,Yavapai,Arizona,4,25,4025,206,134,26,26,0,0.55399656,7,72
190,Verde Valley Medical Center,Short Term Acute Care Hospital,Yavapai,Arizona,4,25,4025,98,87,13,13,0,0.51465911,3,11
191,Yuma Regional Medical Center,Short Term Acute Care Hospital,Yuma,Arizona,4,27,4027,406,406,42,42,20,0.4097375,7,0
192,Baptist Health - Stuttgart,Short Term Acute Care Hospital,Arkansas,Arkansas,5,1,5001,49,49,9,9,0,0.18367347,2,0
193,DeWitt Hospital & Nursing Home,Critical Access Hospital,Arkansas,Arkansas,5,1,5001,25,25,4,4,0,0.082076505,1,0
194,Ashley County Medical Center,Critical Access Hospital,Ashley,Arkansas,5,3,5003,33,25,6,6,0,0.35071039,2,8
195,Baxter Regional Medical Center,Short Term Acute Care Hospital,Baxter,Arkansas,5,5,5005,268,169,17,17,0,0.53123128,4,99
196,Siloam Springs Regional Hospital,Short Term Acute Care Hospital,Benton,Arkansas,5,7,5007,73,44,6,6,0,0.25260806,2,29
197,Mercy Hospital Northwest Arkansas (FKA Mercy Medical Center),Short Term Acute Care Hospital,Benton,Arkansas,5,7,5007,208,275,24,24,8,0.41262791,4,-67
198,Ozarks Community Hospital of Gravette (AKA Ozarks Community Health System),Critical Access Hospital,Benton,Arkansas,5,7,5007,25,25,4,4,0,0.74947947,1,0
199,North Arkansas Regional Medical Center,Short Term Acute Care Hospital,Boone,Arkansas,5,9,5009,174,120,24,24,0,0.1790756,3,54
